Location Code,Entry Number,Location,Full Text
WC,13,WC,"After waiting nearly two hours, we are finally shown into Hiram Davenport's office. He apologises for the delay with a somewhat suspect sincerity and we take our seats and ask our questions. ""Yes, I am Frances' solicitor and Loretta's too, although I am less help in that direction since she came of age.""ù ""You handled their father's estate?""ù ""That's correct. Their father left them equal shares in his one-third share of the Aberdeen Navigation Company. I administered that bequest in the form of a trust fund until each girl came of age. Since then I have tried to do my best to advise them.""ù ""With one-sixth of a share of Aberdeen Navigation Company, they must be very wealthy.""ù ""Frances is, to be sure, but Loretta saw fit, much against my advice, I might add, to liquidate her stock. I'm afraid her financial situation is not all it could be.""ù ""When was the last time you saw Miss Nolan?""ù He seems lost in his thoughts for a moment, then he says ""Well, I met Miss Frances last month. She was in the company of Dr Trevelyan, the doctor of Miss Loretta. Miss Frances wanted him to become her sister's guardian, if anything were to happen to her. Miss Frances seemed absent-minded, her eyes were staring off in the distance""¶ I thought it odd at the time, but when I learned that she blacked out later that the day, I assumed she had sunstroke.""ù ""Would you describe the meeting.""ù ""We were in the middle of our discussion when I was called away on other important business. I begged their indulgence and stepped out of the office. I was gone, oh, 20 minutes. When I got back, Miss Frances had a very strange look in her eyes, said thank you very much, nice to see you again, or something to that effect and left.""ù"
WC,14,WC,"""Both Loretta Nolan and Guy Clarendon have had complaints filed against them,""ù says Disraeli O'Brian, after digging up their files, ""although neither of them has ever been arrested. Miss Nolan has been cited twice for public drunkenness; they both have been involved in some unusual pranks, but the victims have never pressed charges.""ù ""And what can you tell us about the deaths of Frances and Loretta Nolan's parents?""ù Opening a dusty binder with the date 1861, he flips a few pages and tell us about the results of the investigation: ""Zagreb Yoblinski was obviously punished for his crime. The conclusion at that time was that he was mentally unstable. He acted on his own and the investigation stopped there.""ù"
WC,17,WC,"At Somerset House we find that the will of Sir Malcolm Nolan left his entire estate to his widow Margret. If she should precede him in death, then the estate was to be equally divided between his two daughters, Frances and Loretta. The estate included a one-third share in the Aberdeen Navigation Company. The will of Frances Nolan, dated on June, says that, in the case of her incapacitation, her sister's legal guardian will become Dr Trevelyan."
WC,22,WC,"At Cox's we find that Guy Clarendon's activity at the bank was sporadic, with deposits rather infrequent before June 12th."
WC,29,WC,"We ask Dr Mason if he could determine the cause of Frances Nolan's strange blackouts. ""I examined her thoroughly and found nothing physically wrong with her. She could not recall receiving a bump on the head. She did not complain of dizziness. I told her that perhaps she was just overtired and prescribed rest. It remains a complete mystery to me.""ù"
WC,34,WC,"Gerald Locke is not very helpful to our investigation. Not because he does not wish to be, but simply because he has no information to impart."
WC,38,WC,The numismatic expert at the British Museum informs us that Roman coins can be easily purchased from any number of coin shops or private collectors.
WC,46,WC,"We talk to Miss Frances' maid Grace, who tells us that on the evening of the 1st, Dr Trevelyan was at the Nolan home until 10 o'clock. ""After Dr Trevelyan left, Miss Frances asked for a cup of cocoa and I brought it to her. As I came up the stairs to retire, the light in Miss Frances' room went out. The hall clock below struck the half hour, that would be 11:30. I did wake up in the middle of the night ""î actually it was almost morning ""î I thought I heard something. I listened for a time but heard nothing more and dozed off again. I arose at 7:30, completed my toilet by 8 and went downstairs to prepare Miss Frances' breakfast. No sooner was I in the kitchen, than I heard the front door open and close. I saw Miss Frances walking down the street. ""I didn't know what to think when I heard the news, except not to believe it. Miss Frances wouldn't harm anyone, especially Mr Clarendon. ""Do you think I might be able to see her? I'd like to take her spectacles and a book or two; she is so fond of reading, you know.""ù"
WC,66,WC,"Getting into the Squire and Sons pharmacy, a strong smell of camphor immediately pours into our nostrils. We approach the counter and notice that it seems to directly emanate from the employee standing behind. ""Hello sirs. What can I do for you?""ù ""We're looking for information about the various types of more commonly used narcotics.""ù ""Narcotics you say? It's not a usual subject in my establishment. You should try to ask questions at the Keene and Ashwell pharmacy.""ù We thank him and hurry to leave, before our uprising heaving turns into nausea with unfortunate consequences."
- ,13,- ,"As we arrive near the Tower of London, we call a cab driver who stops in front of us. ""Come on, hop on good sirs. Where should I drop you off?""ù ""We simply wish to speak to you about Kenward Olick, did you know him?""ù ""No, I didn't know him much and didn't try to get closer to that guy. If you want my opinion, what happened to him wasn't happenstance considering the shady types he used to hang around with.""ù After a brief discussion, we don't learn anything else."
EC,19,EC,On the opposite side of the customs administration building proudly stands St Mary Church.
EC,26,EC,"At the Aberdeen Navigation Company we enquire as to Frances and Loretta Nolan's connection to the firm. ""Their father, Sir Malcolm, left each of them a one-sixth share. But those shares carried with them no voting privileges. In other words, the ladies were entitled to all profits and dividends but had no say in the running of the company. Several years ago, as soon as she came of age, Miss Loretta divested herself of her stock, sold it back, in fact, to the original partners.""ù"
EC,30,EC,Mr Ellis' secretary informs us that he is on assignment in Europe and will be there for many weeks.
EC,35,EC,"Well, the Clarendon murder looks fairly open and shut,""ù says Quintin Hogg. ""Not your typical murderess, I admit, but there you have it.""ù"
EC,36,EC,"Our interview with Edward Hall is very short. He knows little of the Clarendon murder, but, with his connections, he is able to arrange an interview with Frances Nolan. Confined in a drab holding cell at the Criminal Court, Old Bailey, she is the picture of misery. Her eyes, her most attractive feature in an otherwise plain face, hold a great deal of confusion and disbelief at her present situation. ""I don't remember anything except seeing Guy's body across the room and the pistol in my hand, I screamed and I must have fainted. I didn't even know that he was at Halliday's and I've never been there before. And why would I shoot him? We loved each other! We planned on getting married next year, his father promised him that he would get the church of Canterbury for our wedding!""ù Wiggins goes to her to calm her down. ""Now let's take it one step at a time. What is the last thing you remember before the room at Halliday's?""ù ""Going to bed the night before. On Sunday evenings Dr Trevelyan dines with me at my home. My sister Loretta is under his care and these weekly meetings involve her progress. Well, the doctor and I have become friends over the years. Dr Trevelyan left at 10 o'clock. At 11, my maid Grace prepared a cup of cocoa for me. I drank it and read in bed for a short time, then went to sleep.""ù ""How long have you known Guy Clarendon?""ù ""I first met him at the country estate of Cornelius Oldwine in March. There was a party of some sort and my sister climbed a 15-foot fountain and dived in. She caught pneumonia, and I had to go fetch her home. Guy was at the estate.""ù ""And he immediately began paying court to you?""ù ""No, in fact, he didn't seem to notice me. I was quite surprised some weeks later when he came. It was a lovely afternoon, May 10th. He apologised for his impertinence at coming without an appointment and asked permission to come back again. We began seeing a good deal of each other, went for carriage rides, picnic lunches. He declared his love for me and asked my hand in marriage.""ù ""How were your provisions concerning your and your sister's inheritance in case of""¶ let's say in case of incapacitation?""ù ""I am the legal guardian of Loretta. In case something happens to me, our solicitor, Hiram Davenport, will manage our affairs, as it was when we were children.""ù ""How do you explain your presence at Halliday's?""ù ""I... can't. It's just like the other times.""ù ""You've had previous occurrences of memory loss?""ù ""Yes, twice in the past two weeks. The first time I found myself sitting on a bench in Hyde Park. The second time occurred a few days later. I was going to Lambeth Walk, to get some information concerning a house where my sister and I were planning to stay for two weeks on a vacation away from the city. That was the last thing I remember until I woke up at Waterloo Station. I consulted my doctor, Dr Mason, and he was quite puzzled. He prescribed rest.""ù ""Where did you acquire the pistol?""ù ""I've never seen it before, even though the police assured me that it was mine.""ù ""One last question. What is Gerald Locke to you?""ù ""Gerry is an old, dear friend. I'm afraid we've had a falling out of late. He said some very unkind words about Guy.""ù Edward Hall catches up to us on our way out. He tells us that he has asked Wilfrid Robarts to take Miss Nolan's case. ""He's young but has already gained quite a reputation. Mark my words, he will be knighted some day.""ù"
EC,38,EC,"At Bart's Sir Jasper Meeks tells us that Clarendon was shot at very close range with a small calibre pistol. ""I received the body at 1 o'clock in the afternoon. I would judge that he had been dead anywhere from four to ten hours.""ù"
EC,52,EC,"""Oh, 'course I knew Clarendon. He and his lady friend stopped in from time to time. They were usually on their way to Kilgore's Gaming Parlour, or comin' back from it,""ù says Porky Shinwell. ""What's Kilgore's Gaming Parlour?""ù ""Ha, ha, it's a nice little place down in the southeast, frequented by swells and toffs. The coppers been tryin' to close it down for years but Kilgore knows when they come within three blocks. ""Clarendon was into him for a sizeable sum, or so it was said ""î 7,000 pounds was the figure I heard. Got to the point that Kilgore wouldn't allow him in his place. I understand Clarendon didn't take too kindly to that. Almost caused a row until Kilgore's right hand man, Gus Bullock, stepped in. Clarendon backed down. I don't blame him none. Gus is a mean character right enough. There's a joke about Gus. Somebody once said he'd like to see the customer who gave Gus that scar. He was told, so would the fellow's widow. Ha, ha. ""Anyway, Kilgore made it clear that he expected the money and there were bad feelings all around. Then maybe a month or so later, Clarendon shows up all smiles, and he and Kilgore gettin' on like brothers. Figure Clarendon must have paid him back. Then Calvin Leach steps into the picture.""ù ""Who's Calvin Leach?""ù ""Well, rumour has it that Leach deals in what you might call ""òstolen property.' Square dealer, too, give you one-half the value of the article. Now Calvin Leach don't usually associate with the likes of Claude Kilgore, but there it is. Leach, Kilgore and Clarendon meeting late at night just as thick as, uh, fog. Ha, ha. The meetings continued on and right up until, well, the night before Clarendon's death.""ù ""Did these meetings take place at the Raven ant Rat?""ù ""Well, won't say they did and won't say they didn't. Will say, though, everything I told you is as true as if it was written in the Good Book. Now we been standin' here jawin' and I don't hear nobody orderin' a pint or nothin'. What'll it be?""ù"
EC,68,EC,"Standing in front of the Gould & Sons pharmacy, we find the door closed. A sign states that the nearest open pharmacy is Squire & Sons, at 66 High Street."
